Site;Road width (m);Road verge;Traffic.int;Group;Side;Total no. of flowers;Number marked;Same side;Direction;Distance to marked (m);Group code;Insect abundance;Number of flowers;delta.flower;Better side
Knutby;6;SR;373;1C;E;31;2;N;Y;30;C;1;1053;;N
Östhammar;6;SP;1662;3A;W;35;2;Y;X;24;A;2;535;;Y
Östhammar;6;SP;1662;2A;W;33;21;Y;X;12;A;2;535;;Y
Östhammar;6;SP;1662;3B;E;31;0;N;X;24,74;B;2;259;276;N
Östhammar;6;SP;1662;2B;E;33;20;N;X;13,416;B;2;259;276;N
Östhammar;6;SP;1662;2C;E;35;0;N;Y;18;C;2;259;;N
Östhammar;6;SP;1662;1C;E;30;0;N;Y;30;C;2;259;;N
Enköping;6;SP;841;3A;E;27;1;Y;X;24;A;7;402;;Y
Enköping;6;SP;841;2A;E;30;10;Y;X;12;A;7;402;;Y
Enköping;6;SP;841;3B;W;30;4;N;X;24,74;B;7;123;279;N
Enköping;6;SP;841;2B;W;35;0;N;X;13,416;B;7;123;279;N
Enköping;6;SP;841;2C;W;31;0;N;Y;18;C;7;123;;N
Enköping;6;SP;841;1C;W;30;0;N;Y;30;C;7;123;;N
Skogstibble;6;SP;158;3A;S;26;3;Y;X;24;A;1;413;;Y
Skogstibble;6;SP;158;2A;S;32;11;Y;X;12;A;1;413;;Y
Skogstibble;6;SP;158;3B;N;22;3;N;X;24,74;B;1;136;277;N
Skogstibble;6;SP;158;2B;N;33;13;N;X;13,416;B;1;136;277;N
Skogstibble;6;SP;158;2C;N;29;11;N;Y;18;C;1;136;;N
Skogstibble;6;SP;158;1C;N;33;7;N;Y;30;C;1;136;;N
Rovsättra;5,7;SR;267;3A;E;34;4;Y;X;22,8;A;4;628;;Y
Rovsättra;5,7;SR;267;2A;E;29;5;Y;X;11,4;A;4;628;;Y
Rovsättra;5,7;SR;267;3B;W;33;2;N;X;23,5;B;4;475;153;N
Rovsättra;5,7;SR;267;2B;W;30;0;N;X;12,746;B;4;475;153;N
Rovsättra;5,7;SR;267;2C;W;36;1;N;Y;17,1;C;4;475;;N
Rovsättra;5,7;SR;267;1C;W;34;0;N;Y;28,5;C;4;475;;N
Upplands-Väsby;6;SP;6168;3A;E;24;4;Y;X;24;A;7;244;;Y
Upplands-Väsby;6;SP;6168;2A;E;27;2;Y;X;12;A;7;244;;Y
Upplands-Väsby;6;SP;6168;3B;W;27;0;N;X;24,74;B;7;96;148;N
Upplands-Väsby;6;SP;6168;2B;W;27;0;N;X;13,416;B;7;96;148;N
Upplands-Väsby;6;SP;6168;2C;W;28;0;N;Y;18;C;7;96;;N
Upplands-Väsby;6;SP;6168;1C;W;22;0;N;Y;30;C;7;96;;N
Rimbo;6;SP;939;3A;N;52;1;Y;X;24;A;1;695;;Y
Rimbo;6;SP;939;2A;N;42;0;Y;X;12;A;1;695;;Y
Rimbo;6;SP;939;3B;S;27;0;N;X;24,74;B;1;107;588;N
Rimbo;6;SP;939;2B;S;48;1;N;X;13,416;B;1;107;588;N
Rimbo;6;SP;939;2C;S;50;1;N;Y;18;C;1;107;;N
Rimbo;6;SP;939;1C;S;57;0;N;Y;30;C;1;107;;N
Björklinge;6,2;SP;247;3A;N;39;2;Y;X;24,8;A;0;183;;Y
Björklinge;6,2;SP;247;2A;N;34;6;Y;X;12,4;A;0;183;;Y
Björklinge;6,2;SP;247;3B;S;33;0;N;X;25,563;B;0;131;-52;N
Björklinge;6,2;SP;247;2B;S;47;5;N;X;13,864;B;0;131;-52;N
Björklinge;6,2;SP;247;2C;S;18;2;N;Y;18,6;C;0;131;;N
Björklinge;6,2;SP;247;1C;S;31;2;N;Y;31;C;0;131;;N
Arlanda;6;SR;829;3A;W;33;1;N;X;24,74;A;4;414;-275;Y
Arlanda;6;SR;829;2A;W;31;0;N;X;13,416;A;4;414;-275;Y
Arlanda;6;SR;829;3B;E;29;12;Y;X;24;B;4;139;;N
Arlanda;6;SR;829;2B;E;33;15;Y;X;12;B;4;139;;N
Arlanda;6;SR;829;2C;E;30;1;Y;Y;12;C;4;139;;N
Arlanda;6;SR;829;1C;E;28;1;Y;Y;24;C;4;139;;N
Tierp;6;SR;125;3A;N;28;2;N;X;24,74;A;1;486;450;N
Tierp;6;SR;125;2A;N;33;0;N;X;13,416;A;1;486;450;N
Tierp;6;SR;125;3B;S;32;3;Y;X;24;B;1;936;;Y
Tierp;6;SR;125;2B;S;22;2;Y;X;12;B;1;936;;Y
Tierp;6;SR;125;2C;S;31;0;Y;Y;12;C;1;936;;Y
Tierp;6;SR;125;1C;S;31;1;Y;Y;24;C;1;936;;Y
Hargshamn;6;SR;1726;3A;W;32;7;N;X;24,74;A;3;518;-233;Y
Hargshamn;6;SR;1726;2A;W;30;2;N;X;13,416;A;3;518;-233;Y
Hargshamn;6;SR;1726;3B;E;32;8;Y;X;24;B;3;285;;N
Hargshamn;6;SR;1726;2B;E;29;13;Y;X;12;B;3;285;;N
Hargshamn;6;SR;1726;2C;E;30;1;Y;Y;12;C;3;285;;N
Hargshamn;6;SR;1726;1C;E;30;2;Y;Y;24;C;3;285;;N
Vänge;6;SP;562;3A;E;31;14;N;X;24,74;A;0;534;-441;Y
Vänge;6;SP;562;2A;E;26;11;N;X;13,416;A;0;534;-441;Y
Vänge;6;SP;562;3B;W;26;10;Y;X;24;B;0;93;;N
Vänge;6;SP;562;2B;W;26;12;Y;X;12;B;0;93;;N
