Site;Road.width..m.;Road.verge;traffic;Group;Side;trials;successes;Same.side;Direction;Distance.to.marked..m.;Group.code;insects;flower.dens;delta.flower;Better.side;site.width
Aspö;6;SR;5675;2B;W;27;0;N;X;13,416;B;11;1403;-1346;Y;5,38
Aspö;6;SR;5675;2C;W;26;3;N;Y;18;C;11;1403;NA;Y;5,38
Aspö;6;SR;5675;1C;W;32;2;N;Y;30;C;11;1403;NA;Y;5,38
Strängnäs;6;SP;372;3A;E;28;1;Y;X;24;A;18;108;NA;Y;4,43
Strängnäs;6;SP;372;2A;E;23;6;Y;X;12;A;18;108;NA;Y;4,43
Strängnäs;6;SP;372;3B;W;26;1;N;X;24,74;B;18;101;7;N;4,43
Strängnäs;6;SP;372;2B;W;25;1;N;X;13,416;B;18;101;7;N;4,43
Strängnäs;6;SP;372;2C;W;25;2;N;Y;18;C;18;101;NA;N;4,43
Strängnäs;6;SP;372;1C;W;26;0;N;Y;30;C;18;101;NA;N;4,43
Häggeby;6;SR;3312;3A;S;33;1;Y;X;24;A;6;366;NA;Y;4,665
Häggeby;6;SR;3312;2A;S;52;6;Y;X;12;A;6;366;NA;Y;4,665
Häggeby;6;SR;3312;3B;N;35;0;N;X;24,74;B;6;157;209;N;4,665
Häggeby;6;SR;3312;2B;N;45;1;N;X;13,416;B;6;157;209;N;4,665
Häggeby;6;SR;3312;2C;N;50;0;N;Y;18;C;6;157;NA;N;4,665
Häggeby;6;SR;3312;1C;N;56;0;N;Y;30;C;6;157;NA;N;4,665
Skärplinge;6;SR;570;3A;W;32;1;Y;X;24;A;0;926;NA;Y;3,8
Skärplinge;6;SR;570;2A;W;28;2;Y;X;12;A;0;926;NA;Y;3,8
Skärplinge;6;SR;570;3B;E;32;2;N;X;24,74;B;0;612;314;N;3,8
Skärplinge;6;SR;570;2B;E;29;2;N;X;13,416;B;0;612;314;N;3,8
Skärplinge;6;SR;570;2C;E;32;2;N;Y;18;C;0;612;NA;N;3,8
Skärplinge;6;SR;570;1C;E;34;2;N;Y;30;C;0;612;NA;N;3,8
Tosterön;7;SP;5764;3A;E;26;7;Y;X;28;A;3;13;NA;N;4,07
Tosterön;7;SP;5764;2A;E;35;15;Y;X;14;A;3;13;NA;N;4,07
Tosterön;7;SP;5764;3B;W;28;12;N;X;28,86;B;3;104;-91;Y;4,07
Tosterön;7;SP;5764;2B;W;30;4;N;X;15,652;B;3;104;-91;Y;4,07
Tosterön;7;SP;5764;2C;W;30;15;N;Y;21;C;3;104;NA;Y;4,07
Tosterön;7;SP;5764;1C;W;40;0;N;Y;35;C;3;104;NA;Y;4,07
Skutskär;6;SR;930;3A;W;28;0;Y;X;24;A;2;115;NA;N;4,31
Skutskär;6;SR;930;2A;W;22;4;Y;X;12;A;2;115;NA;N;4,31
Skutskär;6;SR;930;3B;E;31;3;N;X;24,74;B;2;473;-358;Y;4,31
Skutskär;6;SR;930;2B;E;31;1;N;X;13,416;B;2;473;-358;Y;4,31
Skutskär;6;SR;930;2C;E;37;1;N;Y;18;C;2;473;NA;Y;4,31
Skutskär;6;SR;930;1C;E;30;0;N;Y;30;C;2;473;NA;Y;4,31
Knutby;6;SR;373;3A;W;29;1;Y;X;24;A;1;1172;NA;Y;4,5
Knutby;6;SR;373;2A;W;28;3;Y;X;12;A;1;1172;NA;Y;4,5
Knutby;6;SR;373;3B;E;30;1;N;X;24,74;B;1;1053;119;N;4,5
Knutby;6;SR;373;2B;E;30;1;N;X;13,416;B;1;1053;119;N;4,5
Knutby;6;SR;373;2C;E;32;1;N;Y;18;C;1;1053;NA;N;4,5
Knutby;6;SR;373;1C;E;31;2;N;Y;30;C;1;1053;NA;N;4,5
Östhammar;6;SP;1662;3A;W;35;2;Y;X;24;A;2;535;NA;Y;3,55
Östhammar;6;SP;1662;2A;W;33;21;Y;X;12;A;2;535;NA;Y;3,55
Östhammar;6;SP;1662;3B;E;31;0;N;X;24,74;B;2;259;276;N;3,55
Östhammar;6;SP;1662;2B;E;33;20;N;X;13,416;B;2;259;276;N;3,55
Östhammar;6;SP;1662;2C;E;35;0;N;Y;18;C;2;259;NA;N;3,55
Östhammar;6;SP;1662;1C;E;30;0;N;Y;30;C;2;259;NA;N;3,55
Enköping;6;SP;841;3A;E;27;1;Y;X;24;A;7;402;NA;Y;4,29
Enköping;6;SP;841;2A;E;30;10;Y;X;12;A;7;402;NA;Y;4,29
Enköping;6;SP;841;3B;W;30;4;N;X;24,74;B;7;123;279;N;4,29
Enköping;6;SP;841;2B;W;35;0;N;X;13,416;B;7;123;279;N;4,29
Enköping;6;SP;841;2C;W;31;0;N;Y;18;C;7;123;NA;N;4,29
Enköping;6;SP;841;1C;W;30;0;N;Y;30;C;7;123;NA;N;4,29
Skogstibble;6;SP;158;3A;S;26;3;Y;X;24;A;1;413;NA;Y;3,98
Skogstibble;6;SP;158;2A;S;32;11;Y;X;12;A;1;413;NA;Y;3,98
Skogstibble;6;SP;158;3B;N;22;3;N;X;24,74;B;1;136;277;N;3,98
Skogstibble;6;SP;158;2B;N;33;13;N;X;13,416;B;1;136;277;N;3,98
Skogstibble;6;SP;158;2C;N;29;11;N;Y;18;C;1;136;NA;N;3,98
Skogstibble;6;SP;158;1C;N;33;7;N;Y;30;C;1;136;NA;N;3,98
Rovsättra;5,7;SR;267;3A;E;34;4;Y;X;22,8;A;4;628;NA;Y;4,32
Rovsättra;5,7;SR;267;2A;E;29;5;Y;X;11,4;A;4;628;NA;Y;4,32
Rovsättra;5,7;SR;267;3B;W;33;2;N;X;23,5;B;4;475;153;N;4,32
Rovsättra;5,7;SR;267;2B;W;30;0;N;X;12,746;B;4;475;153;N;4,32
Rovsättra;5,7;SR;267;2C;W;36;1;N;Y;17,1;C;4;475;NA;N;4,32
Rovsättra;5,7;SR;267;1C;W;34;0;N;Y;28,5;C;4;475;NA;N;4,32
Upplands-Väsby;6;SP;6168;3A;E;24;4;Y;X;24;A;7;244;NA;Y;4,76
Upplands-Väsby;6;SP;6168;2A;E;27;2;Y;X;12;A;7;244;NA;Y;4,76
Upplands-Väsby;6;SP;6168;3B;W;27;0;N;X;24,74;B;7;96;148;N;4,76
Upplands-Väsby;6;SP;6168;2B;W;27;0;N;X;13,416;B;7;96;148;N;4,76
Upplands-Väsby;6;SP;6168;2C;W;28;0;N;Y;18;C;7;96;NA;N;4,76
Upplands-Väsby;6;SP;6168;1C;W;22;0;N;Y;30;C;7;96;NA;N;4,76
Rimbo;6;SP;939;3A;N;52;1;Y;X;24;A;1;695;NA;Y;5,19
Rimbo;6;SP;939;2A;N;42;0;Y;X;12;A;1;695;NA;Y;5,19
Rimbo;6;SP;939;3B;S;27;0;N;X;24,74;B;1;107;588;N;5,19
Rimbo;6;SP;939;2B;S;48;1;N;X;13,416;B;1;107;588;N;5,19
Rimbo;6;SP;939;2C;S;50;1;N;Y;18;C;1;107;NA;N;5,19
Rimbo;6;SP;939;1C;S;57;0;N;Y;30;C;1;107;NA;N;5,19
Björklinge;6,2;SP;247;3A;N;39;2;Y;X;24,8;A;0;183;NA;Y;2,88
Björklinge;6,2;SP;247;2A;N;34;6;Y;X;12,4;A;0;183;NA;Y;2,88
Björklinge;6,2;SP;247;3B;S;33;0;N;X;25,563;B;0;131;-52;N;2,88
Björklinge;6,2;SP;247;2B;S;47;5;N;X;13,864;B;0;131;-52;N;2,88
Björklinge;6,2;SP;247;2C;S;18;2;N;Y;18,6;C;0;131;NA;N;2,88
Björklinge;6,2;SP;247;1C;S;31;2;N;Y;31;C;0;131;NA;N;2,88
Arlanda;6;SR;829;3A;W;33;1;N;X;24,74;A;4;414;-275;Y;5,41
Arlanda;6;SR;829;2A;W;31;0;N;X;13,416;A;4;414;-275;Y;5,41
Arlanda;6;SR;829;3B;E;29;12;Y;X;24;B;4;139;NA;N;5,41
Arlanda;6;SR;829;2B;E;33;15;Y;X;12;B;4;139;NA;N;5,41
Arlanda;6;SR;829;2C;E;30;1;Y;Y;12;C;4;139;NA;N;5,41
Arlanda;6;SR;829;1C;E;28;1;Y;Y;24;C;4;139;NA;N;5,41
Tierp;6;SR;125;3A;N;28;2;N;X;24,74;A;1;486;450;N;3,1
Tierp;6;SR;125;2A;N;33;0;N;X;13,416;A;1;486;450;N;3,1
Tierp;6;SR;125;3B;S;32;3;Y;X;24;B;1;936;NA;Y;3,1
Tierp;6;SR;125;2B;S;22;2;Y;X;12;B;1;936;NA;Y;3,1
Tierp;6;SR;125;2C;S;31;0;Y;Y;12;C;1;936;NA;Y;3,1
Tierp;6;SR;125;1C;S;31;1;Y;Y;24;C;1;936;NA;Y;3,1
Hargshamn;6;SR;1726;3A;W;32;7;N;X;24,74;A;3;518;-233;Y;4,17
Hargshamn;6;SR;1726;2A;W;30;2;N;X;13,416;A;3;518;-233;Y;4,17
Hargshamn;6;SR;1726;3B;E;32;8;Y;X;24;B;3;285;NA;N;4,17
Hargshamn;6;SR;1726;2B;E;29;13;Y;X;12;B;3;285;NA;N;4,17
Hargshamn;6;SR;1726;2C;E;30;1;Y;Y;12;C;3;285;NA;N;4,17
Hargshamn;6;SR;1726;1C;E;30;2;Y;Y;24;C;3;285;NA;N;4,17
Vänge;6;SP;562;3A;E;31;14;N;X;24,74;A;0;534;-441;Y;4,15
Vänge;6;SP;562;2A;E;26;11;N;X;13,416;A;0;534;-441;Y;4,15
Vänge;6;SP;562;3B;W;26;10;Y;X;24;B;0;93;NA;N;4,15
Vänge;6;SP;562;2B;W;26;12;Y;X;12;B;0;93;NA;N;4,15
Vänge;6;SP;562;2C;W;29;10;Y;Y;12;C;0;93;NA;N;4,15
Vänge;6;SP;562;1C;W;29;3;Y;Y;24;C;0;93;NA;N;4,15
