"";"Site";"Road.width..m.";"Road.verge";"Traffic.int";"Group";"Side";"trials";"successes";"Same.side";"Direction";"distance";"Group.code";"Insect.abundance";"Flower.abund";"Colour"
"62";"Tosterön";7;"SP";5764;"2A";"E";35;15;"Y";"X";14;"A";3;13;"B"
"63";"Tosterön";7;"SP";5764;"3B";"W";28;12;"N";"X";28,86;"B";0;104;"R"
"64";"Tosterön";7;"SP";5764;"2B";"W";30;4;"N";"X";15,652;"B";0;104;"R"
"65";"Tosterön";7;"SP";5764;"2C";"W";30;15;"N";"Y";21;"C";0;104;"R"
"66";"Tosterön";7;"SP";5764;"1C";"W";40;0;"N";"Y";35;"C";0;104;"R"
"67";"Skutskär";6;"SR";930;"3A";"W";28;0;"Y";"X";24;"A";2;115;"B"
"68";"Skutskär";6;"SR";930;"2A";"W";22;4;"Y";"X";12;"A";2;115;"B"
"69";"Skutskär";6;"SR";930;"3B";"E";31;3;"N";"X";24,74;"B";0;473;"R"
"70";"Skutskär";6;"SR";930;"2B";"E";31;1;"N";"X";13,416;"B";0;473;"R"
"71";"Skutskär";6;"SR";930;"2C";"E";37;1;"N";"Y";18;"C";0;473;"R"
"72";"Skutskär";6;"SR";930;"1C";"E";30;0;"N";"Y";30;"C";0;473;"R"
"73";"Knutby";6;"SR";373;"3A";"W";29;1;"Y";"X";24;"A";1;1172;"B"
"74";"Knutby";6;"SR";373;"2A";"W";28;3;"Y";"X";12;"A";1;1172;"B"
"75";"Knutby";6;"SR";373;"3B";"E";30;1;"N";"X";24,74;"B";2;1053;"R"
"76";"Knutby";6;"SR";373;"2B";"E";30;1;"N";"X";13,416;"B";2;1053;"R"
"77";"Knutby";6;"SR";373;"2C";"E";32;1;"N";"Y";18;"C";2;1053;"R"
"78";"Knutby";6;"SR";373;"1C";"E";31;2;"N";"Y";30;"C";2;1053;"R"
"79";"Östhammar";6;"SP";1662;"3A";"W";35;2;"Y";"X";24;"A";2;535;"B"
"80";"Östhammar";6;"SP";1662;"2A";"W";33;21;"Y";"X";12;"A";2;535;"B"
"81";"Östhammar";6;"SP";1662;"3B";"E";31;0;"N";"X";24,74;"B";1;259;"R"
"82";"Östhammar";6;"SP";1662;"2B";"E";33;20;"N";"X";13,416;"B";1;259;"R"
"83";"Östhammar";6;"SP";1662;"2C";"E";35;0;"N";"Y";18;"C";1;259;"R"
"84";"Östhammar";6;"SP";1662;"1C";"E";30;0;"N";"Y";30;"C";1;259;"R"
"85";"Enköping";6;"SP";841;"3A";"E";27;1;"Y";"X";24;"A";7;402;"B"
"86";"Enköping";6;"SP";841;"2A";"E";30;10;"Y";"X";12;"A";7;402;"B"
"87";"Enköping";6;"SP";841;"3B";"W";30;4;"N";"X";24,74;"B";2;123;"R"
"88";"Enköping";6;"SP";841;"2B";"W";35;0;"N";"X";13,416;"B";2;123;"R"
"89";"Enköping";6;"SP";841;"2C";"W";31;0;"N";"Y";18;"C";2;123;"R"
"90";"Enköping";6;"SP";841;"1C";"W";30;0;"N";"Y";30;"C";2;123;"R"
"91";"Skogstibble";6;"SP";158;"3A";"S";26;3;"Y";"X";24;"A";1;413;"B"
"92";"Skogstibble";6;"SP";158;"2A";"S";32;11;"Y";"X";12;"A";1;413;"B"
"93";"Skogstibble";6;"SP";158;"3B";"N";22;3;"N";"X";24,74;"B";2;136;"R"
"94";"Skogstibble";6;"SP";158;"2B";"N";33;13;"N";"X";13,416;"B";2;136;"R"
"95";"Skogstibble";6;"SP";158;"2C";"N";29;11;"N";"Y";18;"C";2;136;"R"
"96";"Skogstibble";6;"SP";158;"1C";"N";33;7;"N";"Y";30;"C";2;136;"R"
"97";"Rovsättra";5,7;"SR";267;"3A";"E";34;4;"Y";"X";22,8;"A";4;628;"B"
"98";"Rovsättra";5,7;"SR";267;"2A";"E";29;5;"Y";"X";11,4;"A";4;628;"B"
"99";"Rovsättra";5,7;"SR";267;"3B";"W";33;2;"N";"X";23,5;"B";6;475;"R"
"100";"Rovsättra";5,7;"SR";267;"2B";"W";30;0;"N";"X";12,746;"B";6;475;"R"
"101";"Rovsättra";5,7;"SR";267;"2C";"W";36;1;"N";"Y";17,1;"C";6;475;"R"
"102";"Rovsättra";5,7;"SR";267;"1C";"W";34;0;"N";"Y";28,5;"C";6;475;"R"
"103";"Upplands-Väsby";6;"SP";6168;"3A";"E";24;4;"Y";"X";24;"A";7;244;"B"
"104";"Upplands-Väsby";6;"SP";6168;"2A";"E";27;2;"Y";"X";12;"A";7;244;"B"
"105";"Upplands-Väsby";6;"SP";6168;"3B";"W";27;0;"N";"X";24,74;"B";3;96;"R"
"106";"Upplands-Väsby";6;"SP";6168;"2B";"W";27;0;"N";"X";13,416;"B";3;96;"R"
"107";"Upplands-Väsby";6;"SP";6168;"2C";"W";28;0;"N";"Y";18;"C";3;96;"R"
"108";"Upplands-Väsby";6;"SP";6168;"1C";"W";22;0;"N";"Y";30;"C";3;96;"R"
"109";"Rimbo";6;"SP";939;"3A";"N";52;1;"Y";"X";24;"A";1;695;"B"
"110";"Rimbo";6;"SP";939;"2A";"N";42;0;"Y";"X";12;"A";1;695;"B"
"111";"Rimbo";6;"SP";939;"3B";"S";27;0;"N";"X";24,74;"B";2;107;"R"
"112";"Rimbo";6;"SP";939;"2B";"S";48;1;"N";"X";13,416;"B";2;107;"R"
"113";"Rimbo";6;"SP";939;"2C";"S";50;1;"N";"Y";18;"C";2;107;"R"
"114";"Rimbo";6;"SP";939;"1C";"S";57;0;"N";"Y";30;"C";2;107;"R"
"115";"Björklinge";6,2;"SP";247;"3A";"N";39;2;"Y";"X";24,8;"A";0;183;"B"
"116";"Björklinge";6,2;"SP";247;"2A";"N";34;6;"Y";"X";12,4;"A";0;183;"B"
"117";"Björklinge";6,2;"SP";247;"3B";"S";33;0;"N";"X";25,563;"B";1;131;"R"
"118";"Björklinge";6,2;"SP";247;"2B";"S";47;5;"N";"X";13,864;"B";1;131;"R"
"119";"Björklinge";6,2;"SP";247;"2C";"S";18;2;"N";"Y";18,6;"C";1;131;"R"
"120";"Björklinge";6,2;"SP";247;"1C";"S";31;2;"N";"Y";31;"C";1;131;"R"
"121";"Arlanda";6;"SR";829;"3A";"W";33;1;"N";"X";24,74;"A";5;414;"B"
"122";"Arlanda";6;"SR";829;"2A";"W";31;0;"N";"X";13,416;"A";5;414;"B"
"123";"Arlanda";6;"SR";829;"3B";"E";29;12;"Y";"X";24;"B";4;139;"R"
"124";"Arlanda";6;"SR";829;"2B";"E";33;15;"Y";"X";12;"B";4;139;"R"
"125";"Arlanda";6;"SR";829;"2C";"E";30;1;"Y";"Y";12;"C";4;139;"R"
"126";"Arlanda";6;"SR";829;"1C";"E";28;1;"Y";"Y";24;"C";4;139;"R"
"127";"Tierp";6;"SR";125;"3A";"N";28;2;"N";"X";24,74;"A";0;486;"B"
"128";"Tierp";6;"SR";125;"2A";"N";33;0;"N";"X";13,416;"A";0;486;"B"
"129";"Tierp";6;"SR";125;"3B";"S";32;3;"Y";"X";24;"B";1;936;"R"
"130";"Tierp";6;"SR";125;"2B";"S";22;2;"Y";"X";12;"B";1;936;"R"
"131";"Tierp";6;"SR";125;"2C";"S";31;0;"Y";"Y";12;"C";1;936;"R"
"132";"Tierp";6;"SR";125;"1C";"S";31;1;"Y";"Y";24;"C";1;936;"R"
"133";"Hargshamn";6;"SR";1726;"3A";"W";32;7;"N";"X";24,74;"A";1;518;"B"
"134";"Hargshamn";6;"SR";1726;"2A";"W";30;2;"N";"X";13,416;"A";1;518;"B"
"135";"Hargshamn";6;"SR";1726;"3B";"E";32;8;"Y";"X";24;"B";3;285;"R"
"136";"Hargshamn";6;"SR";1726;"2B";"E";29;13;"Y";"X";12;"B";3;285;"R"
"137";"Hargshamn";6;"SR";1726;"2C";"E";30;1;"Y";"Y";12;"C";3;285;"R"
"138";"Hargshamn";6;"SR";1726;"1C";"E";30;2;"Y";"Y";24;"C";3;285;"R"
"139";"Vänge";6;"SP";562;"3A";"E";31;14;"N";"X";24,74;"A";2;534;"B"
"140";"Vänge";6;"SP";562;"2A";"E";26;11;"N";"X";13,416;"A";2;534;"B"
"141";"Vänge";6;"SP";562;"3B";"W";26;10;"Y";"X";24;"B";0;93;"R"
"142";"Vänge";6;"SP";562;"2B";"W";26;12;"Y";"X";12;"B";0;93;"R"
"143";"Vänge";6;"SP";562;"2C";"W";29;10;"Y";"Y";12;"C";0;93;"R"
"144";"Vänge";6;"SP";562;"1C";"W";29;3;"Y";"Y";24;"C";0;93;"R"
"145";"Gottröra";6,4;"SP";3718;"3A";"S";30;1;"N";"X";26,39;"A";1;240;"B"
"146";"Gottröra";6,4;"SP";3718;"2A";"S";28;2;"N";"X";14,31;"A";1;240;"B"
"147";"Gottröra";6,4;"SP";3718;"3B";"N";40;0;"Y";"X";25,6;"B";0;189;"R"
"148";"Gottröra";6,4;"SP";3718;"2B";"N";33;1;"Y";"X";12,8;"B";0;189;"R"
"149";"Gottröra";6,4;"SP";3718;"2C";"N";32;0;"Y";"Y";12,8;"C";0;189;"R"
"150";"Gottröra";6,4;"SP";3718;"1C";"N";33;0;"Y";"Y";25,6;"C";0;189;"R"
"151";"Sigtuna";6;"SR";6300;"3A";"N";20;10;"N";"X";24,74;"A";3;789;"B"
"152";"Sigtuna";6;"SR";6300;"2A";"N";24;2;"N";"X";13,416;"A";3;789;"B"
"153";"Sigtuna";6;"SR";6300;"3B";"S";24;8;"Y";"X";24;"B";5;167;"R"
"154";"Sigtuna";6;"SR";6300;"2B";"S";22;16;"Y";"X";12;"B";5;167;"R"
"155";"Sigtuna";6;"SR";6300;"2C";"S";25;22;"Y";"Y";12;"C";5;167;"R"
"156";"Sigtuna";6;"SR";6300;"1C";"S";24;15;"Y";"Y";24;"C";5;167;"R"
"157";"Aspö";6;"SR";5675;"3A";"E";29;0;"N";"X";24,74;"A";11;57;"B"
"158";"Aspö";6;"SR";5675;"2A";"E";35;1;"N";"X";13,416;"A";11;57;"B"
"159";"Aspö";6;"SR";5675;"3B";"W";32;18;"Y";"X";24;"B";9;1403;"R"
"160";"Aspö";6;"SR";5675;"2B";"W";27;6;"Y";"X";12;"B";9;1403;"R"
"161";"Aspö";6;"SR";5675;"2C";"W";26;1;"Y";"Y";12;"C";9;1403;"R"
"162";"Aspö";6;"SR";5675;"1C";"W";32;7;"Y";"Y";24;"C";9;1403;"R"
"163";"Strängnäs";6;"SP";372;"3A";"E";28;13;"N";"X";24,74;"A";18;108;"B"
"164";"Strängnäs";6;"SP";372;"2A";"E";23;7;"N";"X";13,416;"A";18;108;"B"
"165";"Strängnäs";6;"SP";372;"3B";"W";26;13;"Y";"X";24;"B";18;101;"R"
"166";"Strängnäs";6;"SP";372;"2B";"W";25;20;"Y";"X";12;"B";18;101;"R"
"167";"Strängnäs";6;"SP";372;"2C";"W";25;10;"Y";"Y";12;"C";18;101;"R"
"168";"Strängnäs";6;"SP";372;"1C";"W";26;18;"Y";"Y";24;"C";18;101;"R"
"169";"Häggeby";6;"SR";3312;"3A";"S";33;0;"N";"X";24,74;"A";6;366;"B"
"170";"Häggeby";6;"SR";3312;"2A";"S";52;2;"N";"X";13,416;"A";6;366;"B"
"171";"Häggeby";6;"SR";3312;"3B";"N";35;1;"Y";"X";24;"B";4;157;"R"
"172";"Häggeby";6;"SR";3312;"2B";"N";45;4;"Y";"X";12;"B";4;157;"R"
"173";"Häggeby";6;"SR";3312;"2C";"N";50;0;"Y";"Y";12;"C";4;157;"R"
"174";"Häggeby";6;"SR";3312;"1C";"N";56;0;"Y";"Y";24;"C";4;157;"R"
"175";"Skärplinge";6;"SR";570;"3A";"W";32;1;"N";"X";24,74;"A";0;926;"B"
"176";"Skärplinge";6;"SR";570;"2A";"W";28;0;"N";"X";13,416;"A";0;926;"B"
"177";"Skärplinge";6;"SR";570;"3B";"E";32;0;"Y";"X";24;"B";1;612;"R"
"178";"Skärplinge";6;"SR";570;"2B";"E";29;3;"Y";"X";12;"B";1;612;"R"
"179";"Skärplinge";6;"SR";570;"2C";"E";32;0;"Y";"Y";12;"C";1;612;"R"
"180";"Skärplinge";6;"SR";570;"1C";"E";34;0;"Y";"Y";24;"C";1;612;"R"
"181";"Tosterön";7;"SP";5764;"3A";"E";26;10;"N";"X";28,86;"A";3;13;"B"
"182";"Tosterön";7;"SP";5764;"2A";"E";35;2;"N";"X";15,652;"A";3;13;"B"
"183";"Tosterön";7;"SP";5764;"3B";"W";28;7;"Y";"X";28;"B";0;104;"R"
"184";"Tosterön";7;"SP";5764;"2B";"W";30;18;"Y";"X";14;"B";0;104;"R"
"185";"Tosterön";7;"SP";5764;"2C";"W";30;2;"Y";"Y";14;"C";0;104;"R"
"186";"Tosterön";7;"SP";5764;"1C";"W";40;0;"Y";"Y";28;"C";0;104;"R"
"187";"Skutskär";6;"SR";930;"3A";"W";28;1;"N";"X";24,74;"A";2;115;"B"
"188";"Skutskär";6;"SR";930;"2A";"W";22;2;"N";"X";13,416;"A";2;115;"B"
"189";"Skutskär";6;"SR";930;"3B";"E";31;0;"Y";"X";24;"B";0;473;"R"
"190";"Skutskär";6;"SR";930;"2B";"E";31;7;"Y";"X";12;"B";0;473;"R"
"191";"Skutskär";6;"SR";930;"2C";"E";37;2;"Y";"Y";12;"C";0;473;"R"
"192";"Skutskär";6;"SR";930;"1C";"E";30;0;"Y";"Y";24;"C";0;473;"R"
"193";"Knutby";6;"SR";373;"3A";"W";29;5;"N";"X";24,74;"A";1;1172;"B"
"194";"Knutby";6;"SR";373;"2A";"W";28;1;"N";"X";13,416;"A";1;1172;"B"
"195";"Knutby";6;"SR";373;"3B";"E";30;2;"Y";"X";24;"B";2;1053;"R"
"196";"Knutby";6;"SR";373;"2B";"E";30;2;"Y";"X";12;"B";2;1053;"R"
"197";"Knutby";6;"SR";373;"2C";"E";32;0;"Y";"Y";12;"C";2;1053;"R"
"198";"Knutby";6;"SR";373;"1C";"E";31;1;"Y";"Y";24;"C";2;1053;"R"
"199";"Östhammar";6;"SP";1662;"3A";"W";35;1;"N";"X";24,74;"A";2;535;"B"
"200";"Östhammar";6;"SP";1662;"2A";"W";33;2;"N";"X";13,416;"A";2;535;"B"
"201";"Östhammar";6;"SP";1662;"3B";"E";31;19;"Y";"X";24;"B";1;259;"R"
"202";"Östhammar";6;"SP";1662;"2B";"E";33;27;"Y";"X";12;"B";1;259;"R"
"203";"Östhammar";6;"SP";1662;"2C";"E";35;24;"Y";"Y";12;"C";1;259;"R"
"204";"Östhammar";6;"SP";1662;"1C";"E";30;0;"Y";"Y";24;"C";1;259;"R"
"205";"Enköping";6;"SP";841;"3A";"E";27;3;"N";"X";24,74;"A";7;402;"B"
"206";"Enköping";6;"SP";841;"2A";"E";30;4;"N";"X";13,416;"A";7;402;"B"
"207";"Enköping";6;"SP";841;"3B";"W";30;1;"Y";"X";24;"B";2;123;"R"
"208";"Enköping";6;"SP";841;"2B";"W";35;8;"Y";"X";12;"B";2;123;"R"
"209";"Enköping";6;"SP";841;"2C";"W";31;9;"Y";"Y";12;"C";2;123;"R"
"210";"Enköping";6;"SP";841;"1C";"W";30;0;"Y";"Y";24;"C";2;123;"R"
"211";"Skogstibble";6;"SP";158;"3A";"S";26;0;"N";"X";24,74;"A";1;413;"B"
"212";"Skogstibble";6;"SP";158;"2A";"S";32;6;"N";"X";13,416;"A";1;413;"B"
"213";"Skogstibble";6;"SP";158;"3B";"N";22;2;"Y";"X";24;"B";2;136;"R"
"214";"Skogstibble";6;"SP";158;"2B";"N";33;19;"Y";"X";12;"B";2;136;"R"
"215";"Skogstibble";6;"SP";158;"2C";"N";29;1;"Y";"Y";12;"C";2;136;"R"
"216";"Skogstibble";6;"SP";158;"1C";"N";33;1;"Y";"Y";24;"C";2;136;"R"
"217";"Rovsättra";5,7;"SR";267;"3A";"E";34;2;"N";"X";23,5;"A";4;628;"B"
"218";"Rovsättra";5,7;"SR";267;"2A";"E";29;3;"N";"X";12,746;"A";4;628;"B"
"219";"Rovsättra";5,7;"SR";267;"3B";"W";33;3;"Y";"X";22,8;"B";6;475;"R"
"220";"Rovsättra";5,7;"SR";267;"2B";"W";30;19;"Y";"X";11,4;"B";6;475;"R"
"221";"Rovsättra";5,7;"SR";267;"2C";"W";36;8;"Y";"Y";11,4;"C";6;475;"R"
"222";"Rovsättra";5,7;"SR";267;"1C";"W";34;3;"Y";"Y";22,8;"C";6;475;"R"
"223";"Upplands-Väsby";6;"SP";6168;"3A";"E";24;13;"N";"X";24,74;"A";7;244;"B"
"224";"Upplands-Väsby";6;"SP";6168;"2A";"E";27;6;"N";"X";13,416;"A";7;244;"B"
"225";"Upplands-Väsby";6;"SP";6168;"3B";"W";27;3;"Y";"X";24;"B";3;96;"R"
"226";"Upplands-Väsby";6;"SP";6168;"2B";"W";27;3;"Y";"X";12;"B";3;96;"R"
"227";"Upplands-Väsby";6;"SP";6168;"2C";"W";28;2;"Y";"Y";12;"C";3;96;"R"
"228";"Upplands-Väsby";6;"SP";6168;"1C";"W";22;0;"Y";"Y";24;"C";3;96;"R"
"229";"Rimbo";6;"SP";939;"3A";"N";52;0;"N";"X";24,74;"A";1;695;"B"
"230";"Rimbo";6;"SP";939;"2A";"N";42;6;"N";"X";13,416;"A";1;695;"B"
"231";"Rimbo";6;"SP";939;"3B";"S";27;1;"Y";"X";24;"B";2;107;"R"
"232";"Rimbo";6;"SP";939;"2B";"S";48;4;"Y";"X";12;"B";2;107;"R"
"233";"Rimbo";6;"SP";939;"2C";"S";50;18;"Y";"Y";12;"C";2;107;"R"
"234";"Rimbo";6;"SP";939;"1C";"S";57;3;"Y";"Y";24;"C";2;107;"R"
"235";"Björklinge";6,2;"SP";247;"3A";"N";39;1;"N";"X";25,563;"A";0;183;"B"
"236";"Björklinge";6,2;"SP";247;"2A";"N";34;2;"N";"X";13,864;"A";0;183;"B"
"237";"Björklinge";6,2;"SP";247;"3B";"S";33;10;"Y";"X";24,8;"B";1;131;"R"
"238";"Björklinge";6,2;"SP";247;"2B";"S";47;13;"Y";"X";12,4;"B";1;131;"R"
"239";"Björklinge";6,2;"SP";247;"2C";"S";18;6;"Y";"Y";12,4;"C";1;131;"R"
"240";"Björklinge";6,2;"SP";247;"1C";"S";31;1;"Y";"Y";24,8;"C";1;131;"R"
