Site;Road width (m);Road verge;Traffic (vehicles/day);Group;Total no. Of flowers;Number of blue marked;Number of red marked;Number of unmarked;Marked with both;Distance to 1A (m);Distance to  1B (m);Side Colour;Insect abundance;Flower abundance
Östhammar ;6;SP;1662;2B;33;20;27;5;19;13,416;12;B;1;
Östhammar ;6;SP;1662;2C;35;0;24;11;0;18;12;B;1;
Östhammar ;6;SP;1662;1C;30;0;0;30;0;30;24;B;1;
Enköping ;6;SP;841;3A;27;1;3;23;0;24;24,74;A;7;
Enköping ;6;SP;841;2A;30;10;4;18;2;12;13,416;A;7;
Enköping ;6;SP;841;3B;30;4;1;25;0;24,74;24;B;2;
Enköping ;6;SP;841;2B;35;0;8;27;0;13,416;12;B;2;
Enköping ;6;SP;841;2C;31;0;9;22;0;18;12;B;2;
Enköping ;6;SP;841;1C;30;0;0;30;0;30;24;B;2;
Skogstibble ;6;SP;158;3A;26;3;0;23;0;24;24,74;A;1;
Skogstibble ;6;SP;158;2A;32;11;6;17;2;12;13,416;A;1;
Skogstibble ;6;SP;158;3B;22;3;2;17;0;24,74;24;B;2;
Skogstibble ;6;SP;158;2B;33;13;19;11;10;13,416;12;B;2;
Skogstibble ;6;SP;158;2C;29;11;1;18;1;18;12;B;2;
Skogstibble ;6;SP;158;1C;33;7;1;25;0;30;24;B;2;
Rovsättra ;5,7;SR;267;3A;34;4;2;28;0;22,8;23,5;A;4;
Rovsättra ;5,7;SR;267;2A;29;5;3;23;2;11,4;12,746;A;4;
Rovsättra ;5,7;SR;267;3B;33;2;3;28;0;23,5;22,8;B;6;
Rovsättra ;5,7;SR;267;2B;30;0;19;11;0;12,746;11,4;B;6;
Rovsättra ;5,7;SR;267;2C;36;1;8;27;0;17,1;11,4;B;6;
Rovsättra ;5,7;SR;267;1C;34;0;3;31;0;28,5;22,8;B;6;
Upplands-Väsby ;6;SP;6168;3A;24;4;13;10;3;24;24,74;A;7;
Upplands-Väsby ;6;SP;6168;2A;27;2;6;20;1;12;13,416;A;7;
Upplands-Väsby ;6;SP;6168;3B;27;0;3;24;0;24,74;24;B;3;
Upplands-Väsby ;6;SP;6168;2B;27;0;3;24;0;13,416;12;B;3;
Upplands-Väsby ;6;SP;6168;2C;28;0;2;26;0;18;12;B;3;
Upplands-Väsby ;6;SP;6168;1C;22;0;0;22;0;30;24;B;3;
Rimbo ;6;SP;939;3A;52;1;0;51;0;24;24,74;A;1;
Rimbo ;6;SP;939;2A;42;0;6;36;0;12;13,416;A;1;
Rimbo ;6;SP;939;3B;27;0;1;26;0;24,74;24;B;2;
Rimbo ;6;SP;939;2B;48;1;4;43;0;13,416;12;B;2;
Rimbo ;6;SP;939;2C;50;1;18;32;1;18;12;B;2;
Rimbo ;6;SP;939;1C;57;0;3;54;0;30;24;B;2;
Björklinge ;6,2;SP;247;3A;39;2;1;36;0;24,8;25,563;A;0;
Björklinge ;6,2;SP;247;2A;34;6;2;28;2;12,4;13,864;A;0;
Björklinge ;6,2;SP;247;3B;33;0;10;23;0;25,563;24,8;B;1;
Björklinge ;6,2;SP;247;2B;47;5;13;31;2;13,864;12,4;B;1;
Björklinge ;6,2;SP;247;2C;18;2;6;12;2;18,6;12,4;B;1;
Björklinge ;6,2;SP;247;1C;31;2;1;28;0;31;24,8;B;1;
